S. S. ADAMS	Soren Sorenson Adams
DEL ADELPHIA	Adelphia J. Brown
ARTHUR AINSLIE	Arthur Wellesley Odell Pain
DON ALAN	Don Alan McWethy
HERBERT ALBINI	Abraham Laski
ALDINI	Alex Weiner
ALEXANDER	Claude Conlin
ALI BEY	David Charles Lemmy
ALI BONGO	William Wallace
STAN ALLEN	Stanley A. Sokulski
BERT ALLERTON	Albert Allen Gustafson
THE MYSTERIOUS ALMA	Oswald Henry Bishop
WILL ALMA	Oswald William Bishop
AMASIS	Arthur Hartopp
THE AMAZING JOHNATHAN	Johnathan Szeles
CRISS ANGEL	Christopher Sarantakos
THEODORE ANNEMANN	Theodore John Squires
ANVERDI	Antonius de Vries
ARGUS	Arthur Gilbert
BALABREGA	John Balabrega Miller
CARL BALLANTINE	Meyer Kessler
BEN ALI BEY	Max Auzinger
MOHAMMED BEY	Leo 'Sam' Horowitz
BLACK HERMAN	Benjamin Herman Rucker
BLACKSTONE JR.	Harry Boughton Jr.
BLACKSTONE SR.	Harry Boughton
DAVID BLAINE	David Blaine White
SIGNOR BLITZ	Antoni Van Zandt
BOSCO	Leon Bosco
CARL BREMA	Karl Brehmer
KUDA BUX	Khuda Bakhsh
JOHN CALVERT	Elburn Madren Calvert
THE GREAT CARAZINI	Jim 'Jay' Williams
CARDINI	Richard Valentine Pitchford
CARTER THE GREAT	Charles Joseph Carter
CHANG	Jose Pablo Jesorum
CHING LING FOO	Chee Ling Qua
CHUNG LING SOO	William Robinson
KEITH CLARK	Pierre Cartier
JUDSON COLE	Milton Greishaber
DAVID COPPERFIELD	David Kotkin
PAUL DANIELS	Newton Edward Daniels
DANTE	August Harry Jansen
LEWIS DAVENPORT	George Ryan
DE KOLTA	Joseph Buatier
DE LA MANO	Zell Dreitzehn
DAVID DEVANTE	David Wighton
T. NELSON DOWNS	'Tommy' Nelson Downs
ADE DUVAL	Adolph Amrein
JARDINE ELLIS	Duncan Loren Campbell
ENARDOE	Edward O. Drane
FANTASIO	Ricardo Roucau
DR. FAUST	David Hoy
OTTOKAR FISCHER	O.F. Marteau
AL FLOSSO	Albert Levinson
IMRO FOX	Isador Fuchs
JOSEPH GABRIEL	Joseph Gabriel Wierzbicki
GALI GALI	Mohamed Mahguob
THE GEORGIA WONDER	Lulu Hurst
KARL GERMAIN	Charles Mattmueller
PAUL GERTNER	Paul Gaertner
HORACE GOLDIN	Hyman Goldstein
GOODLIFFE	Charles Goodliffe Neale
JACK GWYNNE	Joseph McCloud Gwynne
ROBERT HARBIN	Edward 'Ned'  Williams
HARDEEN	Theodore Weiss
ROBERT HELLER	William Henry Palmer
CARL HERTZ	Leib Morgenstern
PROFESSOR HERWIN	William Humpage
PROFESSOR HOFFMANN	Angelo Lewis
MAX HOLDEN	William Holden Maxwell
PROFESSOR OTTO HORNMANN	Otto Horn
HARRY HOUDINI	Erich Weiss
JEAN HUGARD	John G. Boyce
BURLING HULL	Burlingame Gilbert Hull
RICKY JAY	Ricky Potash
WALTER CERRETTA JEANS	Walter Janes
FRANK JOGLAR	Milbourne Christopher
JOSEFFY	Joseph P. Freud
KALANAG	Helmut Schreiber
FRED KAPS	Abraham Pieter Bongers
TONY KARDYRO	Anthony Barbato
